Collocation By PMI,Score By PMI,Document By PMI,Collocation By Chi_square,Score By Chi_square,Document By Chi_square,Collocation By Likelihood_ratio,Score By Likelihood_ratio,Document By Likelihood_ratio
study clarifies,8.136531668278614,1,lowest computational,349.3577893335368,1,practice focusing,10.901391572705954,1
study esif,8.136531668278614,1,methodological framework,348.6710502024026,3,choice published,10.900683661556359,1
study esom,8.136531668278614,1,unified framework,348.6710502024026,2,disasters leading,10.900683661556359,1
study fire,8.136531668278614,1,contribution rate,348.60670448887464,1,lower degree,10.900683661556359,1
study megasense,8.136531668278614,1,marketing potential,348.5926298321525,1,requires solving,10.900683661556359,1
study purposely,8.136531668278614,1,potential magnetism,348.5926298321525,1,subsequently validated,10.900683661556359,1
study reinforces,8.136531668278614,1,potential threats,348.5926298321525,1,supply industries,10.900683661556359,1
approaches outperform,8.133419056411277,1,index ndaisi,348.5123064837729,1,together leading,10.900683661556359,1
brings new,8.133419056411277,2,multiple laws,348.5123064837729,1,transfer matrix,10.900683661556359,1
claim new,8.133419056411277,1,multiple ratios,348.5123064837729,1,walking behaviors,10.900683661556359,1
conventional gnss,8.133419056411277,1,develop geodemographic,348.4346957587474,1,modelling approaches,10.898158483329087,2
correct approaches,8.133419056411277,1,empirically test,348.4346957587474,1,open space,10.893267472556225,3
distinguishing new,8.133419056411277,1,errors caused,348.3678176996071,1,climate threats,10.88885703695483,1
effectively reduce,8.133419056411277,2,geometry etc,348.3678176996071,1,deforestation monitoring,10.88885703695483,1
encounter first,8.133419056411277,1,healthcare platform,348.3678176996071,1,monitoring installation,10.88885703695483,1
gnss signals,8.133419056411277,1,percentage errors,348.3678176996071,1,monitoring mechanisms,10.88885703695483,1
inference layer,8.133419056411277,1,platform called,348.3678176996071,1,ssa climate,10.88885703695483,1
modeling rlp,8.133419056411277,1,accessibility levels,348.3604444527612,1,increased discriminatory,10.887181782031977,1
multilevel modeling,8.133419056411277,1,spatial interactions,347.3863083907864,2,increased dramatically,10.887181782031977,1
new company,8.133419056411277,1,architectural patterns,346.5697713685914,1,advantages innovation,10.881836880281641,1
new impression,8.133419056411277,1,multiple gnss,346.5513065525765,2,coordinate mitigation,10.881836880281641,1
new lifestyles,8.133419056411277,1,fabric around,346.4995405928935,1,machines outperformed,10.881836880281641,1
new metro,8.133419056411277,1,performed employing,346.4995405928935,1,massive damage,10.881836880281641,1
new paradigms,8.133419056411277,2,business zone,346.483579492292,1,modern games,10.881836880281641,1
new subsequences,8.133419056411277,1,contributions industrial,346.483579492292,1,park amenities,10.881836880281641,1
rapidly currently,8.133419056411277,1,flexible fuzzy,346.483579492292,1,prevention mitigation,10.881836880281641,1
rl approaches,8.133419056411277,1,industrial automation,346.483579492292,1,quantitatively determine,10.881836880281641,1
roads every,8.133419056411277,1,purposes regarding,346.483579492292,1,representative scene,10.881836880281641,1
sources costly,8.133419056411277,1,recommendations regarding,346.483579492292,1,transforming modern,10.881836880281641,1
sources electricity,8.133419056411277,1,times consists,346.483579492292,1,research results,10.879302648835736,5
streetscape view,8.133419056411277,1,kappa simulation,345.80085498043604,2,research theory,10.87679324399587,1
svm respective,8.133419056411277,1,applied soft,345.79057556770465,1,achieved excellent,10.87500905202652,1
syracuse new,8.133419056411277,1,arrangement space,345.79057556770465,1,across municipalities,10.87500905202652,1
landscape pattern,8.13322474096336,7,dimensional space,345.79057556770465,1,automatic wearable,10.87500905202652,1
fusing multiple,8.130313145543456,1,space aihce,345.79057556770465,1,digital revolution,10.87500905202652,1
gps receiver,8.130313145543456,1,space reflects,345.79057556770465,1,like decreasing,10.87500905202652,1
index bmi,8.130313145543456,1,environmental factors,345.67757832071146,6,objects produces,10.87500905202652,1
index cioiv,8.130313145543456,1,traditional bathymetry,345.6631079011861,1,participation digital,10.87500905202652,1
labels derived,8.130313145543456,1,traditional motion,345.6631079011861,1,revolution digital,10.87500905202652,1
likelihood topic,8.130313145543456,1,constructed decades,345.55695661092386,1,scattered across,10.87500905202652,1
online platform,8.130313145543456,2,schemes streets,345.55695661092386,1,classification model,10.874535798895359,7
square errors,8.130313145543456,1,utility criteria,345.55695661092386,1,assessing spatially,10.871812988429348,1
statistics derived,8.130313145543456,1,achieved satisfactory,344.6723093165509,1,combines typical,10.871812988429348,1
cab system,8.12721390688457,1,appearance objects,344.6723093165509,1,entire county,10.871812988429348,1
irrigation system,8.12721390688457,2,controlled automatic,344.6723093165509,1,get considerable,10.871812988429348,1
system dispatching,8.12721390688457,1,enabling digital,344.6723093165509,1,located university,10.871812988429348,1
system dss,8.12721390688457,2,spread across,344.6723093165509,1,serious fine,10.871812988429348,1
paper presents,8.126088559681731,32,topographic objects,344.6723093165509,1,spatially distributed,10.871812988429348,1
let spatial,8.125151440427675,3,design proposals,344.2653652694105,2,successfully modeled,10.871812988429348,1
ml concept,8.125151440427675,1,collection mixed,343.7184581619502,1,tweets photographs,10.871812988429348,1
additionally efficient,8.122577496763851,2,convolution layer,343.7184581619502,1,unique soundscape,10.871812988429348,1
taxi service,8.122063258640106,1,details still,343.7184581619502,1,street corner,10.865986702581367,1
additional countries,8.121035331955445,1,insights remain,343.7184581619502,1,street explorer,10.865986702581367,1
algorithm correction,8.121035331955445,1,meanwhile insights,343.7184581619502,1,street renewal,10.865986702581367,1
algorithm gaussian,8.121035331955445,1,obtain rockfall,343.7184581619502,1,street wall,10.865986702581367,1
algorithm resnet,8.121035331955445,1,rapidly near,343.7184581619502,1,broader set,10.865077670921645,1
analytical workflow,8.121035331955445,1,disappointing results,343.69311403835775,1,characteristics reliably,10.865077670921645,1
block namely,8.121035331955445,1,partner results,343.69311403835775,1,context meaning,10.865077670921645,1
centers may,8.121035331955445,1,reproducible results,343.69311403835775,1,context multitemporal,10.865077670921645,1
coordinate values,8.121035331955445,1,results beside,343.69311403835775,1,experiencing significant,10.865077670921645,1
crucial steps,8.121035331955445,1,results cast,343.69311403835775,1,significant anomalies,10.865077670921645,1
dense weather,8.121035331955445,1,results depend,343.69311403835775,1,significant auxiliary,10.865077670921645,1
distribution explaining,8.121035331955445,1,results disclose,343.69311403835775,1,significant similarities,10.865077670921645,1
distribution underlying,8.121035331955445,1,results elucidated,343.69311403835775,1,smaller set,10.865077670921645,1
exploit user,8.121035331955445,1,results theta,343.69311403835775,1,clustering results,10.86345411822635,3
heuristic algorithm,8.121035331955445,1,spatial scales,343.42007127869533,5,creating weighted,10.862281746378768,1
increase sediment,8.121035331955445,1,big geodata,343.0329985179797,1,grid operations,10.862281746378768,1
individual intersections,8.121035331955445,1,big picture,343.0329985179797,1,vital components,10.862281746378768,1
inhabitants showed,8.121035331955445,1,merging big,343.0329985179797,1,open big,10.861921854088383,1
intelligence workflows,8.121035331955445,1,mesh networks,343.0329985179797,1,vehicle road,10.86189379539818,2
limited determining,8.121035331955445,1,networks consist,343.0329985179797,1,decisions consequently,10.853992326401295,1
location allocation,8.121035331955445,2,networks dbn,343.0329985179797,1,extensively tested,10.853992326401295,1
memory associated,8.121035331955445,1,networks differential,343.0329985179797,1,foursquare users,10.853992326401295,1
missing values,8.121035331955445,1,networks electronic,343.0329985179797,1,manage decisions,10.853992326401295,1
periods associated,8.121035331955445,1,themes networks,343.0329985179797,1,mode label,10.853992326401295,1
qa algorithm,8.121035331955445,1,effects stochastic,342.8749479324306,1,biggest service,10.85389297730133,1
seasonal changes,8.121035331955445,1,form suggesting,342.8749479324306,1,guarantee service,10.85389297730133,1
smo algorithm,8.121035331955445,1,geographic coordinates,342.8538855244022,1,reduces surface,10.85389297730133,1
steps produced,8.121035331955445,1,kernel parameters,342.8538855244022,1,tuning service,10.85389297730133,1
technical tasks,8.121035331955445,1,meteorological parameters,342.8538855244022,1,workflows intelligent,10.85389297730133,1
two lsm,8.121035331955445,1,mobile node,342.8538855244022,1,found giving,10.853892977301328,1
two megacities,8.121035331955445,1,parameters handling,342.8538855244022,1,service facility,10.853892977301328,1
user demands,8.121035331955445,1,representing geographic,342.8538855244022,1,service guarantee,10.853892977301328,1
uses elm,8.121035331955445,1,syntactic measures,342.8538855244022,1,surface vertical,10.853892977301328,1
available meteorological,8.117955939023474,1,article examines,342.82756115300987,1,differenced time,10.85201594162801,1
region embeddings,8.117955939023474,1,low medium,342.82756115300987,1,displacement time,10.85201594162801,1
automatic characterization,8.11488310497385,1,quantitatively evaluated,342.82756115300987,1,time differenced,10.85201594162801,1
automatic ncbas,8.11488310497385,1,crowdsourcing game,342.8012408236855,1,time span,10.85201594162801,1
digital footprints,8.11488310497385,1,primary factor,342.8012408236855,2,academic literature,10.849996646006755,1
individuals across,8.11488310497385,1,primary goal,342.8012408236855,2,associated determinants,10.849996646006755,1
like ensuring,8.11488310497385,1,similar auc,342.8012408236855,1,associated gdp,10.849996646006755,1
minimize impacts,8.11488310497385,1,testing samples,342.8012408236855,1,countries france,10.849996646006755,1
objects overhead,8.11488310497385,1,theory extensive,342.8012408236855,1,difficulty associated,10.849996646006755,1
products like,8.11488310497385,1,becoming accessible,342.79597724278676,1,spectral magnitude,10.849996646006755,1
smartphones like,8.11488310497385,1,third scenario,342.79597724278676,1,spots associated,10.849996646006755,1
station coverage,8.11488310497385,1,comprehensive review,342.51025224585294,2,user intervention,10.849996646006755,1
better understand,8.109521343938402,23,increasing amount,342.51025224585294,2,dataset obtained,10.845280273498888,1
distinct temporal,8.10875700217701,1,results confirm,341.70387610705836,2,calculated based,10.843775212718489,2
hsr remote,8.10875700217701,1,commute patterns,341.3822862046813,1,paradigm based,10.843775212718489,2
remote inspection,8.10875700217701,1,dynamical patterns,341.3822862046813,1,add several,10.841578436739141,1
rf nn,8.10875700217701,1,repeated patterns,341.3822862046813,1,commuters travel,10.841578436739141,1
statistical downscaling,8.10875700217701,1,regression neighbors,341.1384304824066,1,holds several,10.841578436739141,1
temporal resolutions,8.10875700217701,1,regression svr,341.1384304824066,1,number mesh,10.841578436739141,1
autonomous driving,8.105703678199454,1,spatialization feature,341.1384304824066,1,several multilabel,10.841578436739141,1
captured via,8.105703678199454,1,daytime temperature,341.0912728347923,1,types ust,10.841578436739141,1
futures scenarios,8.105703678199454,1,temperature r,341.0912728347923,3,additional contexts,10.838752551861727,1
make improvements,8.105703678199454,1,automated uavs,341.00485100092925,1,ais involved,10.838752551861727,1
physical aspect,8.105703678199454,1,common hazards,341.00485100092925,1,analyse morphological,10.838752551861727,1
via joint,8.105703678199454,1,forms sky,341.00485100092925,1,binary dependent,10.838752551861727,1
travel mode,8.105703678199452,5,manual automated,341.00485100092925,1,binary description,10.838752551861727,1
real time,8.105268016097128,12,providing unprecedented,341.00485100092925,1,connectivity established,10.838752551861727,1
engineering simulation,8.10468733786796,1,communication engineering,340.9812890098174,1,deployed yet,10.838752551861727,1
classifies image,8.102656802640592,1,continuous measurement,340.9812890098174,1,exist yet,10.838752551861727,1
development centered,8.102656802640592,1,designing phase,340.9812890098174,1,increases contribute,10.838752551861727,1
development onto,8.102656802640592,1,operational phase,340.9812890098174,1,measuring livability,10.838752551861727,1
ict development,8.102656802640592,1,optimize government,340.9812890098174,1,price measuring,10.838752551861727,1
image aihce,8.102656802640592,1,supporting government,340.9812890098174,1,procedure involved,10.838752551861727,1
image pairs,8.102656802640592,1,target variable,340.9812890098174,2,relatively consistent,10.838752551861727,1
image transforms,8.102656802640592,1,mitigate climate,340.96897832778194,2,usually done,10.838752551861727,1
novel calibration,8.102656802640592,1,last years,340.91660656995197,2,yet exist,10.838752551861727,1
radiometric image,8.102656802640592,1,provide answers,340.31884804011383,1,adl using,10.834197559666212,1
tree crown,8.102656802640592,1,provide extra,340.31884804011383,1,afterward using,10.834197559666212,1
china suffer,8.09961634832054,1,provide offline,340.31884804011383,1,augsburg using,10.834197559666212,1
cioiv regression,8.09961634832054,1,phone data,340.15586105611845,6,chhattisgarh using,10.834197559666212,1
cloud connectivity,8.09961634832054,1,geospatial data,340.0012092835174,12,desalination using,10.834197559666212,1
continuous measurements,8.09961634832054,1,highly detailed,339.76939947956345,2,grasping using,10.834197559666212,1
examine park,8.09961634832054,1,automatically extracted,339.54555875667904,2,journaling using,10.834197559666212,1
feature entities,8.09961634832054,1,object categories,339.54555875667904,2,localised using,10.834197559666212,1
generation capacity,8.09961634832054,1,county china,339.1769050737834,2,months using,10.834197559666212,1
layout generation,8.09961634832054,1,multivariate regression,339.1769050737834,2,piles using,10.834197559666212,1
park plays,8.09961634832054,1,integration levels,339.09094848764005,1,postprocessed using,10.834197559666212,1
precision yet,8.09961634832054,1,rs images,338.1237580941423,1,recovered using,10.834197559666212,1
streets contribute,8.09961634832054,1,systems gis,337.8628840424521,5,resurfacing using,10.834197559666212,1
different seasons,8.099616348320538,3,techniques ikonos,337.81061078748377,1,slr using,10.834197559666212,1
paper develops,8.099616348320538,3,high levels,337.68828308071926,3,strasbourg using,10.834197559666212,1
test whether,8.098604285816116,3,environmental degradation,337.6471063238329,1,terminal using,10.834197559666212,1
addressing housing,8.096582288230907,1,categorical variables,337.56670983508843,1,trafficmanagement using,10.834197559666212,1
analyzes dynamic,8.096582288230907,1,visual inspection,337.56670983508843,1,using abstractions,10.834197559666212,1
assessments licensee,8.096582288230907,1,finally multiscale,337.4889432265334,1,using adversarially,10.834197559666212,1
auc moreover,8.096582288230907,1,incorporated key,337.4889432265334,1,using anchored,10.834197559666212,1
auc performed,8.096582288230907,1,recent advancements,337.4889432265334,1,using convnets,10.834197559666212,1
dynamic route,8.096582288230907,1,science perspectives,337.45266440332466,1,using cuboid,10.834197559666212,1
fully reflect,8.096582288230907,1,specific randomly,337.45266440332466,1,using envi,10.834197559666212,3
fully studied,8.096582288230907,1,specific turning,337.45266440332466,1,using fragstats,10.834197559666212,1
heights moreover,8.096582288230907,1,valid effect,337.45266440332466,1,using hdi,10.834197559666212,1
intensity moreover,8.096582288230907,1,commercial districts,337.4215744764828,1,using hyperledger,10.834197559666212,1
label therefore,8.096582288230907,1,consistent objective,337.4215744764828,1,using lora,10.834197559666212,1
materials consumption,8.096582288230907,1,increases cooling,337.4215744764828,1,using mapreduce,10.834197559666212,1
ones moreover,8.096582288230907,1,indices percentage,337.4215744764828,1,using polarimetric,10.834197559666212,1
semantic net,8.096582288230907,1,limitations exist,337.4215744764828,1,using realtime,10.834197559666212,1
semantic proximity,8.096582288230907,1,negative implications,337.4215744764828,1,using specialist,10.834197559666212,1
subjective qualities,8.096582288230907,1,provided consistent,337.4215744764828,1,using tactile,10.834197559666212,1
technology offering,8.096582288230907,1,residents preferences,337.4215744764828,1,using ysi,10.834197559666212,1
technology put,8.096582288230907,1,appropriate soundscape,337.41121244054233,1,rational construction,10.83251407276784,1
worldwide licensee,8.096582288230907,1,living agents,337.41121244054233,1,side effect,10.83251407276784,1
climate zone,8.096582288230906,4,observations output,337.41121244054233,1,specific relief,10.832514072767838,1
walking environments,8.094563120594252,1,raw observation,337.41121244054233,2,dimension effectively,10.83005528539292,1
certain range,8.09355459553334,2,simulated imaging,337.41121244054233,1,effectively interpret,10.83005528539292,1
close range,8.09355459553334,1,attributed features,337.322723755455,1,farmland loss,10.83005528539292,1
photovoltaic systems,8.09355459553334,1,factors solar,337.2580506946967,2,layer attribute,10.83005528539292,1
systems existed,8.09355459553334,1,tremendous challenges,336.638187370227,1,still expensive,10.83005528539292,1
territorial systems,8.09355459553334,1,efficient manner,336.58648874551676,1,valid survey,10.83005528539292,1
well recognized,8.09355459553334,2,greatly improved,336.58648874551676,1,eight bands,10.829588639842392,1
allows users,8.089024937052825,2,nine possible,336.58648874551676,1,enhancing ecosystem,10.829588639842392,1
neighborhood effects,8.088120709482709,4,designed mlp,336.5451412772622,1,hydrological devices,10.829588639842392,1
york city,8.087286540600903,13,predictive models,336.0123456041121,5,records ever,10.829588639842392,1
abundant studies,8.084509455930332,1,accuracy precision,335.89592918251503,2,scientific political,10.829588639842392,1
area bufa,8.084509455930332,1,visual interface,335.60493230235767,2,tracking records,10.829588639842392,1
area gama,8.084509455930332,1,effect indices,335.52245699757714,1,uavs devices,10.829588639842392,1
area grew,8.084509455930332,1,crime patterns,335.4944926818715,1,whether manual,10.829588639842392,1
area illustrates,8.084509455930332,1,ca models,335.19460802674206,3,propagation model,10.829482903049406,2
area intensification,8.084509455930332,1,mixed methods,335.12952107176005,3,terrain model,10.829482903049406,2
area jamaica,8.084509455930332,1,various exogenous,335.0167871188709,1,xgboost model,10.829482903049406,1
area lake,8.084509455930332,1,communication technologies,334.91210168440955,2,eventually develop,10.821150695697211,1
area mapa,8.084509455930332,1,five representative,334.8110044363187,1,sophisticated tools,10.821150695697211,1
area na,8.084509455930332,1,make military,334.8110044363187,1,test persons,10.821150695697211,1
area removing,8.084509455930332,1,via principal,334.8110044363187,1,tools besides,10.821150695697211,1
atmospheric variables,8.084509455930332,1,via stacking,334.8110044363187,1,typology order,10.821150695697211,1
classifier slightly,8.084509455930332,1,annotated dataset,334.0686332693136,1,content analyses,10.815499200825279,1
closed network,8.084509455930332,1,dataset comprises,334.0686332693136,1,fast becoming,10.815499200825279,1
collaborative heterogeneous,8.084509455930332,1,homogeneous dataset,334.0686332693136,1,maximum pois,10.815499200825279,1
create likelihood,8.084509455930332,1,knowledge cim,334.0686332693136,1,methodologies objectives,10.815499200825279,1
datasets prove,8.084509455930332,1,local climates,334.0686332693136,1,pois maximum,10.815499200825279,1
denser area,8.084509455930332,2,local stakeholder,334.0686332693136,1,relations revealed,10.815499200825279,1
detected mobility,8.084509455930332,1,maintaining water,334.0686332693136,1,scheme verify,10.815499200825279,1
diverse living,8.084509455930332,1,openstreetmap dataset,334.0686332693136,1,sensitivity analyses,10.815499200825279,1
easily find,8.084509455930332,1,paris dataset,334.0686332693136,1,site involving,10.815499200825279,1
effect hence,8.084509455930332,1,svi dataset,334.0686332693136,2,applications happen,10.810681092768819,1
either commercial,8.084509455930332,1,usable knowledge,334.0686332693136,1,applications usl,10.810681092768819,1
engineering perspective,8.084509455930332,1,spatiotemporal patterns,333.5634663728008,4,related work,10.807202748146924,2
flood occurrence,8.084509455930332,1,significant role,333.08350288303166,4,adaptive weighting,10.801938361222708,1
function vectors,8.084509455930332,1,meaningful travel,332.9520317959365,2,ecology morphology,10.801938361222708,1
fundamental aspects,8.084509455930332,1,major challenges,332.76148420893634,3,classifiers referred,10.798785748739167,1
generating six,8.084509455930332,1,defining smart,332.5904700896265,1,db aspects,10.798785748739167,1
global spread,8.084509455930332,1,harmonious smart,332.5904700896265,1,find crimes,10.798785748739167,1
hand specifically,8.084509455930332,1,errors mean,332.45854733039323,1,light aircraft,10.798785748739167,1
heterogeneous preferences,8.084509455930332,1,competition changes,332.29928421512665,1,night light,10.798785748739167,1
improve device,8.084509455930332,1,scattered distribution,332.29928421512665,1,underlying function,10.798785748739167,1
improve livability,8.084509455930332,2,positively related,332.2686627278286,1,alleviate future,10.795394528353047,1
improve storm,8.084509455930332,1,bands combination,332.21253798955263,1,three key,10.793611865916557,2
lab visual,8.084509455930332,1,remains challenging,332.21253798955263,1,achieve comparable,10.793469112838677,1
latent functional,8.084509455930332,1,spectral indexes,332.21253798955263,1,achieve computationally,10.793469112838677,1
levels employ,8.084509455930332,1,online citizen,332.19723453325986,1,aesthetics purpose,10.793469112838677,1
lidar products,8.084509455930332,1,power parameter,332.19723453325986,1,concerns around,10.793469112838677,1
lst whereas,8.084509455930332,1,power supply,332.19723453325986,1,coordination moreover,10.793469112838677,1
network extracts,8.084509455930332,1,predicted details,332.19723453325986,1,international campus,10.793469112838677,1
network gan,8.084509455930332,1,six perceptual,332.19723453325986,1,performed separately,10.793469112838677,1
network hoeffding,8.084509455930332,1,final stage,332.19213369447203,1,showing promising,10.793469112838677,1
network operators,8.084509455930332,1,investigates source,332.19213369447203,1,classes covering,10.790905815389934,1
offer opportunities,8.084509455930332,1,learn latent,332.19213369447203,1,efficiency initially,10.790905815389934,1
output variable,8.084509455930332,2,schemes produced,332.19213369447203,1,imbalanced classes,10.790905815389934,1
overlay network,8.084509455930332,1,knowledge base,332.1066103971174,3,ontology classes,10.790905815389934,1
patches increased,8.084509455930332,1,low susceptibility,331.5874640011523,2,wearable sensor,10.790905815389934,1
path occurrence,8.084509455930332,1,commonly employed,331.3348922619836,1,two machine,10.789670921617871,5
population employment,8.084509455930332,1,devices requires,331.3348922619836,1,best partition,10.7889373050637,1
reduce cost,8.084509455930332,2,drivers behaviors,331.3348922619836,1,distributional effects,10.7889373050637,1
representations next,8.084509455930332,1,engine resulting,331.3348922619836,1,dominant effects,10.7889373050637,1
sensors deployed,8.084509455930332,1,svm classifier,331.29133065418335,4,explicitly address,10.7889373050637,1
sizes population,8.084509455930332,1,important factor,331.09750626138725,7,poland form,10.7889373050637,1
studies pertaining,8.084509455930332,1,recommending scale,330.64194637443063,1,automated detection,10.788460486555271,2
studies solely,8.084509455930332,1,demand accident,330.5429289774354,1,cioi prediction,10.783592664357885,1
take emergency,8.084509455930332,1,historical accident,330.5429289774354,1,lower elevation,10.783152894903672,1
validation properties,8.084509455930332,1,ubiquitous computing,330.5429289774354,1,terrain elevation,10.783152894903672,1
vegetation bare,8.084509455930332,1,classes slightly,330.5277007953041,1,integrating artificial,10.77740259843857,2
vegetation experienced,8.084509455930332,1,physiological sensor,330.5277007953041,1,via machine,10.7748130164546,3
lte network,8.08450945593033,2,cause subjective,330.4896364779675,1,beidou satellite,10.772697487588873,1
shown good,8.0830074307651,2,expert assessments,330.4896364779675,1,galileo satellite,10.772697487588873,1
detailed insight,8.081506967768808,2,graph embedding,330.4896364779675,1,inexpensive satellite,10.772697487588873,1
nlos propagation,8.081506967768808,1,hazard assessments,330.4896364779675,1,utilising satellite,10.772697487588873,1
yield detailed,8.081506967768808,1,road commerce,329.8766218144011,1,affective quality,10.770185112503128,1
widely applied,8.078083186770897,7,road edges,329.8766218144011,1,quality preliminary,10.770185112503128,1
education health,8.075520672703076,1,emergency management,329.5591645335963,3,prediction error,10.766941113271706,3
estimate whether,8.075520672703076,1,emerging technology,329.4722643371182,2,vision algorithm,10.763969805653616,3
extracting green,8.075520672703076,1,main contribution,329.0261845763678,2,aim becomes,10.761183571652076,1
outdoor reference,8.075520672703076,1,smart navigation,328.6487541416505,1,combining classical,10.761183571652076,1
predicting arrival,8.075520672703076,1,functional distance,328.5963865138304,1,dependency recently,10.761183571652076,1
predicting pollutant,8.075520672703076,1,objective sensor,328.5963865138304,2,explanation power,10.761183571652076,1
signal correlation,8.075520672703076,2,policy implications,328.5963865138304,2,predicted ridership,10.761183571652076,1
standard hyperspectral,8.075520672703076,1,tree quest,328.07022733243736,1,streetscape perceptions,10.761183571652076,1
things web,8.075520672703076,1,street segments,327.7229805801867,2,subsequent perceptions,10.761183571652076,1
structural health,8.075520672703075,1,city authorities,327.6914762380208,3,causing key,10.757236013186636,1
allocating land,8.072536814264256,1,improve positioning,327.474116994451,3,eo finally,10.757236013186636,1
atlas land,8.072536814264256,1,cart decision,327.36495036481773,1,finally adding,10.757236013186636,1
densification locations,8.072536814264256,1,clean process,327.36495036481773,1,fls provides,10.757236013186636,1
height height,8.072536814264256,1,modular decision,327.36495036481773,1,provides interpretable,10.757236013186636,1
land ecotone,8.072536814264256,1,process dynamically,327.36495036481773,1,summarize recent,10.757236013186636,1
land fertility,8.072536814264256,1,proof process,327.36495036481773,1,harnessing social,10.756867048232118,1
poverty poverty,8.072536814264256,1,identify sidewalk,327.2844858270873,1,high caps,10.756867048232118,1
reclassified land,8.072536814264256,1,activities ongoing,327.1588391447357,1,high grades,10.756867048232118,1
regressors show,8.072536814264256,1,generates optimization,327.1588391447357,1,humanities social,10.756867048232118,1
sinks land,8.072536814264256,1,metric measure,327.1588391447357,1,iraq high,10.756867048232118,1
technological solutions,8.072536814264256,1,placement optimization,327.1588391447357,1,social inclusiveness,10.756867048232118,1
unused land,8.072536814264256,1,quantitatively measure,327.1588391447357,1,social inequalities,10.756867048232118,1
target task,8.07104719612377,1,regional centers,327.1588391447357,1,social metadata,10.756867048232118,1
facilitating local,8.06955911446436,1,satellites positioning,327.1588391447357,1,social ties,10.756867048232118,1
guangzhou dataset,8.06955911446436,1,analyzed though,327.13874462772134,1,support particular,10.755125566584253,1
rain water,8.06955911446436,1,consistent since,327.13874462772134,1,broader sustainable,10.75025582598952,1
water remained,8.06955911446436,1,exploit ensemble,327.13874462772134,1,location semantics,10.75025582598952,1
accuracy producer,8.06658754793307,1,livability improvement,327.13874462772134,1,sustainable urbanisation,10.75025582598952,1
accuracy ranges,8.06658754793307,1,optimal police,327.13874462772134,1,agreement among,10.750148079426136,1
corresponding measures,8.06658754793307,1,users involved,327.13874462772134,1,categorize citizens,10.750148079426136,1
could avoid,8.06658754793307,1,general requirements,327.1261868080552,1,converted among,10.750148079426136,1
describing geographic,8.06658754793307,1,generally observed,327.1261868080552,1,resident life,10.750148079426136,1
detect meaningful,8.06658754793307,1,mitigate landslides,327.1261868080552,1,today life,10.750148079426136,1
dtex could,8.06658754793307,1,regarding sample,327.1261868080552,1,update technique,10.750148079426136,1
main sensitive,8.06658754793307,1,york times,327.1261868080552,1,citizens habitat,10.750148079426134,1
meaningful interpretation,8.06658754793307,1,small amount,327.11576425927666,2,citizens opinions,10.750148079426134,1
metric parameters,8.06658754793307,2,rural areas,326.9578608302239,3,safety culture,10.750148079426134,1
prevention measures,8.06658754793307,1,generic image,326.28850926858024,2,spatiotemporal uncertainties,10.750148079426134,1
sample selection,8.06658754793307,1,novel ways,326.1155834421785,2,algorithmic strategy,10.748857314542555,1
term selection,8.06658754793307,1,one cause,325.7683316415087,2,attributes vary,10.748857314542555,1
video game,8.06658754793307,2,solicited use,325.55137079028276,1,capture leisure,10.748857314542555,1
years beyond,8.06658754793307,1,use harmonization,325.55137079028276,1,complexity textural,10.748857314542555,1
years interpreting,8.06658754793307,1,use inductive,325.55137079028276,1,functionality towards,10.748857314542555,1
fuses smart,8.062141642901878,2,use mix,325.55137079028276,1,great promise,10.748857314542555,1
mitigation processes,8.062141642901878,1,wise use,325.55137079028276,1,intervention strategy,10.748857314542555,1
risk mitigation,8.062141642901878,2,vision tasks,325.23454839838695,2,particular functionality,10.748857314542555,1
convolutional lstm,8.060662713975963,1,energy benchmarking,324.89104856507385,1,strongest influence,10.748857314542555,2
extend public,8.060662713975963,1,adaptive intelligent,324.83686258804727,1,towards professionals,10.748857314542555,1
public facility,8.060662713975963,1,code processing,324.7114253248845,1,trees lightgbm,10.748857314542555,1
public judicial,8.060662713975963,1,deeper relationship,324.7114253248845,1,discover surrounding,10.746931066294962,1
service sector,8.060662713975963,1,modelling frameworks,324.7114253248845,1,industries located,10.746931066294962,1
summer surface,8.060662713975963,1,procedural modelling,324.7114253248845,1,leading cause,10.746931066294962,1
surface spread,8.060662713975963,1,thermal band,324.7114253248845,1,learned uncertainty,10.746931066294962,1
targeted public,8.060662713975963,1,thermal emission,324.7114253248845,1,route recommendations,10.746931066294962,1
artificial creativity,8.057709396586617,1,becoming popular,324.6515950405565,1,spatially represented,10.746931066294962,1
artificial neurons,8.057709396586617,1,indoor outdoor,324.6515950405565,1,testing purposes,10.746931066294962,1
evolve artificial,8.057709396586617,1,revealed larger,324.6515950405565,1,backpropagation neural,10.743637286254208,1
realm artificial,8.057709396586617,1,simulations contribute,324.6515950405565,1,comparative roles,10.742742880711399,1
administrative scale,8.05476211253628,1,varying database,324.6515950405565,1,phone tracking,10.742742880711399,1
conservation maps,8.05476211253628,1,sensing data,324.020218247843,19,select appropriate,10.742742880711399,1
considerable amount,8.05476211253628,1,delineated including,323.99417483686534,1,step forward,10.742742880711399,1
entire regions,8.05476211253628,1,including topical,323.99417483686534,1,urgent needs,10.742742880711399,1
net experimental,8.05476211253628,1,including typology,323.99417483686534,1,comprehensive reform,10.734729226209115,1
prototype designed,8.05476211253628,1,interests including,323.99417483686534,1,geographical proximity,10.734729226209115,1
