uni_gram,uni_gram_freq,uni_gram_docIDs,bi_gram,bi_gram_freq,bi_gram_docIDs,tri_gram,tri_gram_freq,tri_gram_docIDs
,,,presents reliable,1,1,monitor energy efficiency,1,1
,,,process divides,1,1,networks ann catboost,1,1
,,,proposed clustering,1,1,outperforms several machine,1,1
,,,reflect spatial,1,1,performance prediction yielding,1,1
,,,regions whereas,1,1,proposed stacking ensemble,1,1
,,,relatively homogeneous,1,1,resulting model stacking,1,1
,,,reliable method,1,1,smart city case,1,1
,,,reliable structure,1,1,smart city collects,1,1
,,,repeated several,1,1,smart city first,1,1
,,,several times,1,1,songdo south korean,1,1
,,,similarity method,1,1,south korea nowadays,1,1
,,,spectral clustering,1,1,south korean smart,1,1
,,,study combines,1,1,studies smart city,1,1
,,,traffic modeling,1,1,urban studies smart,1,1
,,,used clustering,1,1,use artificial neural,1,1
,,,adversarial network,1,1,weighted meta model,1,1
,,,always define,1,1,accurate measures regarding,1,1
,,,apply gan,1,1,best agreement found,1,1
,,,automatic design,1,1,continuous land transformation,1,1
,,,backward drawing,1,1,countries like turkey,1,1
,,,buildings configuration,1,1,decreased thermal comfort,1,1
,,,cities inspires,1,1,developing countries like,1,1
,,,cities meanwhile,1,1,end land lulc,1,1
,,,conditions roads,1,1,experiencing rapid urban,1,1
,,,costs much,1,1,four different dates,1,1
,,,creating urban,1,1,generated using landsat,1,1
,,,designers automatically,1,1,good correlation coefficients,1,1
,,,designers spend,1,1,harsh environmental impacts,1,1
,,,determined thus,1,1,heat energy balance,1,1
,,,distinct conditions,1,1,highest values estimated,1,1
,,,drawing sketches,1,1,image processing algorithms,1,1
,,,drawing urban,1,1,increased skin temperatures,1,1
,,,fields generative,1,1,indicator utfvi resulted,1,1
,,,finally determined,1,1,indicators uli pd,1,1
,,,generate image,1,1,island uhi severity,1,1
,,,given condition,1,1,istanbul turkey urbanization,1,1
,,,green lands,1,1,landsat imageries based,1,1
,,,heavy load,1,1,like turkey istanbul,1,1
,,,help release,1,1,lulc classes show,1,1
,,,helping designers,1,1,natural surfaces due,1,1
,,,image pairs,1,1,pd ugsi ndvi,1,1
,,,inspires urban,1,1,processing algorithms respectively,1,1
,,,learning assisted,1,1,radiometric image processing,1,1
,,,learning specially,1,1,skin temperatures case,1,1
,,,model frame,1,1,suffered continuous land,1,1
,,,models trained,1,1,take accurate measures,1,1
,,,network gan,1,1,temperature lst maps,1,1
,,,plans designers,1,1,temperatures case study,1,1
,,,plans helping,1,1,uhi indicator utfvi,1,1
,,,predicted details,1,1,uhi results indicate,1,1
,,,process usually,1,1,uli pd ugsi,1,1
,,,providing preview,1,1,urbanization indicators uli,1,1
,,,quickly providing,1,1,using landsat imageries,1,1
,,,roads green,1,1,various artificial surfaces,1,1
,,,scale plans,1,1,community development centered,1,1
,,,spend lot,1,1,emotional evaluation showing,1,1
,,,stage quickly,1,1,evaluation aihce framework,1,1
,,,time working,1,1,evaluation method based,1,1
,,,urban filling,1,1,evaluation model siem,1,1
,,,usually costs,1,1,expression recognition model,1,1
,,,working forward,1,1,facial expression recognition,1,1
,,,railway stations,4,1,facilitates communication design,1,1
,,,railway industry,2,1,fostering people awareness,1,1
,,,analysis bda,1,1,human evaluation aihce,1,1
,,,analytical needs,1,1,human evaluation recently,1,1
,,,analytical predictions,1,1,image evaluation model,1,1
,,,area novel,1,1,image recognition technology,1,1
,,,assessment process,1,1,models enabling continuous,1,1
,,,assessment support,1,1,pedestrian facial expression,1,1
,,,bda data,1,1,performs deep learning,1,1
,,,bda may,1,1,prepared street space,1,1
,,,benefits within,1,1,public goods reflecting,1,1
,,,bow tie,1,1,recognition model ferm,1,1
,,,bt framework,1,1,simultaneous subjective emotional,1,1
,,,combine bda,1,1,space image aihce,1,1
,,,currently exist,1,1,street image evaluation,1,1
,,,enable safety,1,1,street space aihce,1,1
,,,enhancing passenger,1,1,street space based,1,1
,,,existing safety,1,1,street space image,1,1
,,,framework model,1,1,subjective emotional evaluation,1,1
,,,fully integrated,1,1,target street space,1,1
,,,greater potential,1,1,two models enabling,1,1
,,,handling data,1,1,urban design theory,2,1
,,,hazards raise,1,1,various streetscape features,2,1
,,,human errors,1,1,affecting human perceptions,1,1
,,,important benefits,1,1,applying computer vision,1,1
,,,innovative new,1,1,captured using view,1,1
,,,iot grows,1,1,conversely subjective measures,1,1
,,,maintain safety,1,1,data explain human,1,1
,,,methods need,1,1,emerged however human,1,1
,,,mitigate risks,1,1,explain human behaviors,1,1
,,,novel technological,1,1,extracting streetscape view,1,1
,,,operational models,1,1,features affecting human,1,1
,,,paper bow,1,1,features using convolution,1,1
,,,particular whereby,1,1,first collected ratings,1,1
,,,passenger data,1,1,five urban cores,1,1
,,,passenger safety,1,1,found strong correlation,1,1
,,,predict hazards,1,1,four important perceptions,1,1
,,,progression towards,1,1,fully captured using,1,1
,,,railway enable,1,1,however human perception,1,1
,,,railway safety,1,1,human perception imageability,1,1
,,,railway station,1,1,human perceptions therefore,1,1
,,,raise safety,1,1,image features using,1,1
,,,records utilizing,1,1,imagery svi datasets,1,1
,,,reduce human,1,1,important perceptions suggested,1,1
,,,risk analysis,1,1,indices conversely subjective,1,1
,,,risks predict,1,1,inform urban design,1,1
,,,safer railway,1,1,inform urban renewal,1,1
,,,safety however,1,1,integrated crowdsourcing cv,1,1
,,,safety records,1,1,integrating subjective measures,1,1
,,,sales banking,1,1,interview data explain,1,1
,,,security efficiency,1,1,labels cv segmentation,1,1
,,,station employing,1,1,many new studies,1,1
,,,stations moreover,1,1,measure four important,1,1
,,,stations thus,1,1,measured streetscape perceptions,1,1
,,,substantial railway,1,1,measures using survey,1,1
,,,take note,1,1,new studies applying,1,1
,,,technological techniques,1,1,perceptual scores directly,1,1
,,,technologies directed,1,1,predicted complexity score,1,1
,,,thing iot,1,1,predicting perceptual scores,1,1
,,,tie bt,1,1,proxy urban scene,1,1
,,,utilizing bda,1,1,recently many new,1,1
,,,utilizing big,1,1,renowned worldwide rather,1,1
,,,various difficulties,1,1,sample svis regarding,1,1
,,,whereby analytical,1,1,samples extracting streetscape,1,1
,,,adaptation approach,1,1,shanghai recently many,1,1
,,,adaptation near,1,1,streetscape features affecting,1,1
,,,approach exploits,1,1,streetscape view indices,1,1
,,,available clustering,1,1,studies applying computer,1,1
,,,become unstable,1,1,subjective measures using,1,1
,,,cani approach,1,1,subjectively measure four,1,1
,,,clustering adaptation,1,1,subjectively measured streetscape,1,1
,,,clustering protocol,1,1,svi samples extracting,1,1
,,,clustering protocols,1,1,trained ml models,1,1
,,,clustering scheme,1,1,training labels cv,1,1
,,,clustering stability,1,1,urban renewal strategies,1,1
,,,clusters accordingly,1,1,urban scene qualities,1,1
,,,communications however,1,1,using convolution neural,1,1
,,,continuously learn,1,1,using view indices,1,1
,,,developed prediction,1,1,view indices conversely,1,1
,,,different challenges,1,1,cooling effect indices,2,1
,,,efficiency performance,1,1,data envelopment analysis,2,1
,,,enhanced urban,1,1,park cooling efficiency,2,1
,,,ensure clustering,1,1,absolute efficiency total,1,1
,,,exploits online,1,1,adopted two novel,1,1
,,,highway clustering,1,1,analysis dea model,1,1
,,,intersection cani,1,1,approximately times higher,1,1
,,,main advantage,1,1,area ha showed,1,1
,,,many intersections,1,1,average cooling efficiency,1,1
,,,mitigate different,1,1,better cooling performance,1,1
,,,near intersection,1,1,body coverage ratio,1,1
,,,networks vanets,1,1,cooling efficiency index,1,1
,,,online sequential,1,1,cooling efficiency moreover,1,1
,,,paper clustering,1,1,cooling intensity index,1,1
,,,performance improvement,1,1,current study area,1,1
,,,proposed adaptation,1,1,data urban parks,1,1
,,,required quality,1,1,designing urban parks,1,1
,,,resultant clustering,1,1,efficiency moreover larger,1,1
,,,sequential extreme,1,1,envelopment analysis dea,1,1
,,,shows significant,1,1,findings could provide,1,1
,,,significant stability,1,1,ha showed better,1,1
,,,urban clustering,1,1,heat island effect,1,1
,,,vanets using,1,1,inefficient park cooling,1,1
,,,vehicles near,1,1,intensity index pcii,1,1
,,,vehicular networks,1,1,island effect understanding,1,1
,,,monetary poverty,3,1,landsat satellite imageries,1,1
,,,multiple methodologies,2,1,learning techniques xgboost,1,1
,,,accra within,1,1,moreover larger parks,1,1
,,,assessed poverty,1,1,novel cooling effect,1,1
,,,cities identifying,1,1,park cooling intensity,1,1
,,,combining household,1,1,parks using data,1,1
,,,critical step,1,1,promote urban residents,1,1
,,,define slums,1,1,provide valuable references,1,1
,,,defined slum,1,1,research findings could,1,1
,,,designing effective,1,1,residents outdoor thermal,1,1
,,,dwellers protecting,1,1,shanghai metropolitan city,1,1
,,,generally areas,1,1,showed better cooling,1,1
,,,ghana providing,1,1,significant cooling effect,1,1
,,,higher monetary,1,1,study area increasing,1,1
,,,household survey,1,1,therefore promote urban,1,1
,,,important policy,1,1,two cooling effect,1,1
,,,improved infrastructure,1,1,two novel cooling,1,1
,,,including machine,1,1,urban parks using,1,1
,,,lower elevation,1,1,urban parks within,1,1
,,,many african,1,1,urban residents outdoor,1,1
,,,mapping poverty,1,1,using data envelopment,1,1
,,,methodologies including,1,1,vegetation greenness ndvi,1,1
,,,policy issues,1,1,water body coverage,1,1
,,,poverty poverty,1,1,winter park size,1,1
,,,poverty rates,1,1,airborne particulate matter,1,1
,,,providing housing,1,1,available see fulltext,1,1
,,,quantitatively within,1,1,characteristic curve roc,1,1
,,,slum dwellers,1,1,classification index maps,1,1
,,,slums quantitatively,1,1,curve roc graphical,1,1
,,,slums using,1,1,graphical abstract figure,1,1
,,,toward designing,1,1,independent variables especially,1,1
,,,urgent policy,1,1,independent variables probability,1,1
,,,topics identified,2,1,loop function based,1,1
,,,academia consumers,1,1,mapping using variable,1,1
,,,algorithms data,1,1,model capacity regularization,1,1
,,,allocation cars,1,1,modeled using monthly,1,1
,,,amending policies,1,1,monthly maximum values,1,1
,,,assessment training,1,1,open street maps,1,1
,,,association graph,1,1,overall accuracy quantity,1,1
,,,becoming popular,1,1,overfitting importance distribution,1,1
,,,car computer,1,1,prediction importance level,1,1
,,,carefully applied,1,1,prediction variables variable,1,1
,,,cars latent,1,1,prepared using boosting,1,1
,,,cars safety,1,1,processing delay degree,1,1
,,,cars using,1,1,roc graphical abstract,1,1
,,,concepts reveal,1,1,study investigates uncertainty,1,1
,,,data design,1,1,susceptibility mapping using,1,1
,,,dataset quality,1,1,tested susceptibility index,1,1
,,,decision tools,1,1,using boosting xgboost,1,1
,,,design ethics,1,1,using monthly maximum,1,1
,,,different concerns,1,1,variable loop function,1,1
,,,discussed concepts,1,1,variables processing delay,1,1
,,,diverse disciplines,1,1,variables variable loop,1,1
,,,driver car,1,1,urban planning conflicts,3,1
,,,example safety,1,1,social media users,2,1
,,,frequently discussed,1,1,analyzing urban planning,1,1
,,,future study,1,1,blogs instant messaging,1,1
,,,hidden topics,1,1,conflicts research data,1,1
,,,identified furthermore,1,1,conflicts social media,1,1
,,,identify latent,1,1,developed approaches made,1,1
,,,interaction control,1,1,digital footprints artificial,1,1
,,,larger dataset,1,1,effective urban systems,1,1
,,,latent hidden,1,1,footprints artificial neural,1,1
,,,methods used,1,1,forums reviews video,1,1
,,,network visualization,1,1,hosting services thematic,1,1
,,,planning driver,1,1,instant messaging forums,1,1
,,,popular topics,1,1,intelligent control systems,1,1
,,,public sector,1,1,learning mathematical models,1,1
,,,several subject,1,1,machine learning mathematical,1,1
,,,subject areas,1,1,manage urban systems,1,1
,,,system design,1,1,media multimodal approach,1,1
,,,terms shows,1,1,media print media,1,1
,,,topic identification,1,1,media users perception,1,1
,,,unveiling topics,1,1,media users perceptions,1,1
,,,valid research,1,1,messaging forums reviews,1,1
,,,cmtf model,3,1,microblogging blogs instant,1,1
,,,coupled matrix,2,1,models differential equations,1,1
,,,matrix tensor,2,1,nec identify complaints,1,1
,,,nonnegative coupled,2,1,networks differential equations,1,1
,,,tensor factorization,2,1,networks microblogging blogs,1,1
,,,accurate spatiotemporal,1,1,neural network models,1,1
,,,additional contexts,1,1,neural networks differential,1,1
,,,analysis highlights,1,1,online media print,1,1
,,,analyze additional,1,1,planning conflicts social,1,1
,,,automated extraction,1,1,portals online media,1,1
,,,available information,1,1,prevent conflicts research,1,1
,,,city spatiotemporal,1,1,quickly detect prevent,1,1
,,,efficient factorization,1,1,research data could,1,1
,,,efficiently utilizing,1,1,reviews video hosting,1,1
,,,factor goodness,1,1,services thematic portals,1,1
,,,factorization algorithm,1,1,social media multimodal,1,1
,,,factorization cmtf,1,1,social networks microblogging,1,1
,,,generated spatiotemporal,1,1,solving similar problems,1,1
,,,inbuilt sensors,1,1,tense situation around,1,1
,,,meaningful patterns,1,1,thematic portals online,1,1
,,,nonnegative cmtf,1,1,urban systems efficiently,1,1
,,,pattern mining,1,1,urban systems management,1,1
,,,people mobility,1,1,users perceptions based,1,1
,,,propose nonnegative,1,1,video hosting services,1,1
,,,proposed cmtf,1,1,advantages include rapid,1,1
,,,smartphone generated,1,1,analyses limited use,1,1
,,,spatiotemporal activities,1,1,apple look around,1,1
,,,spatiotemporal pattern,1,1,applied key advantages,1,1
,,,still challenging,1,1,areas built environment,1,1
,,,transportation facilities,1,1,around bing streetside,1,1
,,,yields accurate,1,1,attribute information unreliability,1,1
,,,utility computing,4,1,baidu total view,1,1
,,,computing model,3,1,bing streetside baidu,1,1
,,,shm system,3,1,capture attribute information,1,1
,,,structural health,3,1,capture enhanced safety,1,1
,,,give visual,2,1,comprehensive global review,1,1
,,,per zone,2,1,considerable new opportunities,1,1
,,,proposed utility,2,1,conventional urban data,1,1
,,,shm needed,2,1,data capture enhanced,1,1
,,,shm systems,2,1,data extraction techniques,1,1
,,,utility model,2,1,data sources whether,1,1
,,,accurate shm,1,1,environment urban modelling,1,1
,,,act similar,1,1,evident including limited,1,1
,,,algorithm give,1,1,experienced however several,1,1
,,,analysis data,1,1,findings provide detailed,1,1
,,,attendance system,1,1,first comprehensive review,1,1
,,,better location,1,1,five research areas,1,1
,,,better management,1,1,gatekeepers findings provide,1,1
,,,biometric attendance,1,1,however several limitations,1,1
,,,building mac,1,1,imagery platforms including,1,1
,,,calculation using,1,1,imagery provides advantages,1,1
,,,computing system,1,1,including apple look,1,1
,,,created due,1,1,including limited ability,1,1
,,,crisis management,1,1,inspired several new,1,1
,,,data sensors,1,1,key advantages include,1,1
,,,decide better,1,1,land use health,1,1
,,,denser area,1,1,learning data extraction,1,1
,,,disturbances created,1,1,look around bing,1,1
,,,early detection,1,1,natural environment urban,1,1
,,,effective system,1,1,naver street view,1,1
,,,efficient environment,1,1,new panoramic imagery,1,1
,,,enable early,1,1,panoramic imagery platforms,1,1
,,,environment logging,1,1,panoramic imagery provides,1,1
,,,equipment identifier,1,1,platforms including apple,1,1
,,,every device,1,1,provide detailed insight,1,1
,,,experts suggestions,1,1,provides considerable new,1,1
,,,external surroundings,1,1,reputation panoramic imagery,1,1
,,,fatalities caused,1,1,research areas built,1,1
,,,give experts,1,1,research comprehensive global,1,1
,,,high disturbances,1,1,several new panoramic,1,1
,,,higher occupancy,1,1,sources whether manual,1,1
,,,higher population,1,1,street view naver,1,1
,,,higher structures,1,1,streetside baidu total,1,1
,,,ideal shm,1,1,temporal analyses limited,1,1
,,,identifier addresses,1,1,tencent street view,1,1
,,,installation scheme,1,1,total view tencent,1,1
,,,intensified disasters,1,1,urban research comprehensive,1,1
,,,international mobile,1,1,using panoramic imagery,1,1
,,,mac international,1,1,view naver street,1,1
,,,management due,1,1,view tencent street,1,1
,,,mobile equipment,1,1,wellbeing natural environment,1,1
,,,model takes,1,1,whether manual automated,1,1
,,,monitoring installation,1,1,automatic building extraction,1,1
,,,monitoring utility,1,1,building footprint extraction,1,1
,,,natural phenomena,1,1,classical ml support,1,1
,,,needed per,1,1,comparing three machine,1,1
,,,novel utility,1,1,context investigated scores,1,1
,,,occupant measuring,1,1,der enz potsdam,1,1
,,,occupation models,1,1,different methods proposed,1,1
,,,prepare authorities,1,1,different popular supervised,1,1
,,,pressing need,1,1,environmental risk management,1,1
,,,processes finally,1,1,fields urban planning,1,1
,,,provides structural,1,1,first two methods,1,1
,,,qatar university,1,1,footprint extraction using,1,1
,,,results therefore,1,1,gradients hog feature,1,1
,,,risk factors,1,1,hog feature descriptor,1,1
,,,save cost,1,1,investigate building footprint,1,1
,,,sensors readings,1,1,learning ml achieve,1,1
,,,several zones,1,1,learning used data,1,1
,,,shm utility,1,1,machine elm classifier,1,1
,,,simple machine,1,1,ml feature extraction,1,1
,,,simulated occupation,1,1,ml support vector,1,1
,,,specific authorities,1,1,model automatic building,1,1
,,,structural information,1,1,model dsm data,1,1
,,,structures per,1,1,morphology complexity among,1,1
,,,system installed,1,1,network extreme learning,1,1
,,,systems compared,1,1,network fcn based,1,1
,,,therefore shm,1,1,neural network extreme,1,1
,,,using ideal,1,1,planning environmental risk,1,1
,,,using utility,1,1,popular supervised ml,1,1
,,,utility managers,1,1,raster digital surface,1,1
,,,utility processes,1,1,raster dsm scores,1,1
,,,would enable,1,1,shallow ml feature,1,1
,,,zone calculation,1,1,shallow neural network,1,1
,,,zone denser,1,1,supervised ml models,1,1
,,,zone depending,1,1,surface model automatic,1,1
,,,rf signatures,5,1,three different popular,1,1
,,,rf fingerprint,4,1,transfer learning used,1,1
,,,rf signature,3,1,two methods rely,1,1
,,,estimation accuracy,2,1,urban context investigated,1,1
,,,fingerprint database,2,1,urban morphology complexity,1,1
,,,accuracy efficient,1,1,intelligent decision making,2,1
,,,accuracy hence,1,1,agglomerative clustering finally,1,1
,,,battery furthermore,1,1,algorithms generally decision,1,1
,,,become possible,1,1,become difficult due,1,1
,,,cell planning,1,1,classifiers naïve bayes,1,1
,,,clarified minimum,1,1,clustering finally prototype,1,1
,,,commercial ues,1,1,decision making machine,1,1
,,,communications networks,1,1,domain traditional decision,1,1
,,,conducted field,1,1,electronic forms without,1,1
,,,conducting drive,1,1,forms without written,1,1
,,,drive test,1,1,generally decision making,1,1
,,,drive tests,1,1,improving intelligent decision,1,1
,,,effective localization,1,1,intelligent decision support,1,1
,,,effective ones,1,1,issues even though,1,1
,,,efficient cell,1,1,learning algorithms generally,1,1
,,,equipment ue,1,1,learning classifiers naïve,1,1
,,,fingerprint localization,1,1,making machine learning,1,1
,,,fingerprint method,1,1,planning using machine,1,1
,,,frequency rf,1,1,progressively become difficult,1,1
,,,functions specified,1,1,provides relevant assistance,1,1
,,,furthermore keeping,1,1,support system idss,1,1
,,,improving estimation,1,1,traditional decision support,1,1
,,,information beforehand,1,1,urban issues even,1,1
,,,information directly,1,1,urban planning using,1,1
,,,learning eventually,1,1,without written permission,1,1
,,,localization method,1,1,building roof superstructures,2,1
,,,localization models,1,1,roof superstructures classification,2,1
,,,lte release,1,1,active remote sensing,1,1
,,,lte rf,1,1,adapted connected component,1,1
,,,making several,1,1,als point clouds,1,1
,,,mdt although,1,1,approach outperformed machine,1,1
,,,mdt functions,1,1,build roof superstructures,1,1
,,,minimum rf,1,1,cloud light detection,1,1
,,,mobile communications,1,1,component iii support,1,1
,,,network optimization,1,1,component sampling csbs,1,1
,,,operate rf,1,1,components iv furthermore,1,1
,,,optimization become,1,1,connected component analysis,1,1
,,,possible however,1,1,data without assumptions,1,1
,,,radio frequency,1,1,density airborne lidar,1,1
,,,release radio,1,1,different products like,1,1
,,,serving base,1,1,distribution underlying data,1,1
,,,several localization,1,1,dormers chimneys ground,1,1
,,,signatures causes,1,1,existing resampling strategies,1,1
,,,signatures required,1,1,five classes shed,1,1
,,,test mdt,1,1,following key elements,1,1
,,,ue battery,1,1,forest decision tree,1,1
,,,ues compatible,1,1,furthermore new component,1,1
,,,uplink capacity,1,1,gable dormers chimneys,1,1
,,,user equipment,1,1,ii twelve features,1,1
,,,using measurement,1,1,iii support vector,1,1
,,,game environment,2,1,imbalanced class problem,1,1
,,,city game,1,1,imbalanced classes covering,1,1
,,,controlling human,1,1,imbalanced data problem,1,1
,,,environments particularly,1,1,including svm random,1,1
,,,expected behavior,1,1,iv furthermore new,1,1
,,,game characteristics,1,1,like city designs,1,1
,,,good behavior,1,1,low density airborne,1,1
,,,immediate rewards,1,1,machine svm procedure,1,1
,,,particularly smart,1,1,main methodological novelties,1,1
,,,playable cities,1,1,methods including svm,1,1
,,,predict convergence,1,1,mitigating nonplanar objects,1,1
,,,smart environments,1,1,new component sampling,1,1
,,,videogame environments,1,1,nonplanar objects problems,1,1
,,,analysis proposed,1,1,outperformed machine learning,1,1
,,,analyzing city,1,1,planning airborne laser,1,1
,,,applications usl,1,1,point cloud light,1,1
,,,approach allows,1,1,point clouds segmentation,1,1
,,,architecture courses,1,1,produce different products,1,1
,,,combine design,1,1,products like city,1,1
,,,combines qualitative,1,1,proposed approach outperformed,1,1
,,,emotional response,1,1,proposed approach results,1,1
,,,first approach,1,1,proposed ii twelve,1,1
,,,go beyond,1,1,raw data without,1,1
,,,hand however,1,1,roof superstructures especially,1,1
,,,implement methods,1,1,sampling csbs method,1,1
,,,lab usl,1,1,satisfying classification performance,1,1
,,,laboratory combines,1,1,scanning als point,1,1
,,,measures managed,1,1,several existing resampling,1,1
,,,multisensory laboratory,1,1,superstructures especially dormers,1,1
,,,people cc,1,1,urban area notably,1,1
,,,puebla mexico,1,1,urban planning airborne,1,1
,,,results provided,1,1,urban land expansion,3,1
,,,sensory lab,1,1,driving urban land,2,1
,,,space human,1,1,land use dynamics,2,1
,,,space users,1,1,actual land use,1,1
,,,strategy allows,1,1,although growing literature,1,1
,,,thinking strategy,1,1,areas although growing,1,1
,,,urban knowledge,1,1,cast new light,1,1
,,,urban multisensory,1,1,considering different urban,1,1
,,,urban sensory,1,1,detailed spatiotemporal knowledge,1,1
,,,ai gt,1,1,determinants driving urban,1,1
,,,achieve accuracy,1,1,development stages studied,1,1
,,,activity prediction,1,1,differed greatly depending,1,1
,,,aggregate communication,1,1,different expansion determinants,1,1
,,,analyze data,1,1,different types involved,1,1
,,,briefly outline,1,1,different urban categories,1,1
,,,communication volume,1,1,different urban types,1,1
,,,develop methodology,1,1,driving land expansion,1,1
,,,europe pertaining,1,1,dynamics using poi,1,1
,,,false negatives,1,1,economic development witnessed,1,1
,,,false positives,1,1,enormous differences existed,1,1
,,,giving higher,1,1,exert greater influence,1,1
,,,green small,1,1,expansion determinants driving,1,1
,,,gt based,1,1,expansion differed greatly,1,1
,,,higher weight,1,1,expansion less attention,1,1
,,,improve network,1,1,factors driving land,1,1
,,,improved recall,1,1,huizhou downtown area,1,1
,,,large mobile,1,1,industrial land change,1,1
,,,makes prediction,1,1,land commercial land,1,1
,,,network operators,1,1,land expansion differed,1,1
,,,outline potential,1,1,land expansion less,1,1
,,,particular whether,1,1,land use expansion,1,1
,,,past activity,1,1,land use residential,1,1
,,,phone provider,1,1,natural transportation location,1,1
,,,planning green,1,1,poi factors driving,1,1
,,,prediction capability,1,1,potential driving forces,1,1
,,,prediction challenging,1,1,provide detailed spatiotemporal,1,1
,,,small cells,1,1,public services land,1,1
,,,two cells,1,1,residential land administration,1,1
,,,urban ecology,1,1,results cast new,1,1
,,,using decision,1,1,rf estimations showed,1,1
,,,volume ai,1,1,services land commercial,1,1
,,,whether two,1,1,significant economic development,1,1
,,,calculated image,1,1,sound planning strategies,1,1
,,,city machine,1,1,stages studied transportation,1,1
,,,derive land,1,1,studied transportation location,1,1
,,,different cityscapes,1,1,transportation location social,1,1
,,,features gist,1,1,understanding urban land,1,1
,,,get urban,1,1,urban development stage,1,1
,,,gist hog,1,1,urban development stages,1,1
,,,imagery google,1,1,use dynamics using,1,1
,,,images accuracy,1,1,use expansion based,1,1
,,,images several,1,1,use residential land,1,1
,,,method developed,1,1,various urban types,1,1
,,,represent images,1,1,way sound planning,1,1
,,,several commonly,1,1,assessment using machine,2,1
,,,used generic,1,1,economic assessment using,2,1
,,,fall detection,2,1,amenities using two,1,1
,,,accelerometer signals,1,1,approach economic sustainability,1,1
,,,accuracy recall,1,1,beyond critical limit,1,1
,,,addition comparing,1,1,comprises many privately,1,1
,,,adl using,1,1,either excessively low,1,1
,,,automatic wearable,1,1,estates housing values,1,1
,,,axes accelerometer,1,1,existing theories suggest,1,1
,,,cause significant,1,1,extremely high levels,1,1
,,,critical health,1,1,growing population density,1,1
,,,daily living,1,1,housing estates housing,1,1
,,,device data,1,1,housing supply urban,1,1
,,,device proposed,1,1,housing values initially,1,1
,,,devices mobile,1,1,increases beyond critical,1,1
,,,distinguish falls,1,1,learning approach economic,1,1
,,,effective machine,1,1,level urban planners,1,1
,,,elderly people,1,1,local project level,1,1
,,,health problem,1,1,many privately owned,1,1
,,,human fall,1,1,nonlinear economic relationship,1,1
,,,living adl,1,1,optimize housing supply,1,1
,,,mobile device,1,1,owned residential units,1,1
,,,model detects,1,1,per household share,1,1
,,,obtained accuracy,1,1,privately owned residential,1,1
,,,often cause,1,1,project level urban,1,1
,,,performance results,1,1,property transaction data,1,1
,,,sensor based,1,1,residential units like,1,1
,,,serious risk,1,1,shared amenities using,1,1
,,,significant injuries,1,1,supply urban planning,1,1
,,,single triaxial,1,1,sustainable development scale,1,1
,,,system falls,1,1,tipping point exists,1,1
,,,system utilizing,1,1,units like condos,1,1
,,,tackle serious,1,1,urban planners need,1,1
,,,three axes,1,1,using two decades,1,1
,,,triaxial accelerometer,1,1,values initially rise,1,1
,,,two devices,1,1,area cities helsinki,1,1
,,,using accuracy,1,1,cities agendas practices,1,1
,,,using seven,1,1,cities meet artificial,1,1
,,,utilizing two,1,1,city officials attitudes,1,1
,,,wearable device,1,1,discuss key issues,1,1
,,,wearable fall,1,1,explore finnish city,1,1
,,,wearable sensor,1,1,finnish city officials,1,1
,,,wireless sensor,1,1,individuals understand ai,1,1
,,,automated planning,3,1,meet artificial intelligence,1,1
,,,quality limits,2,1,metropolitan area cities,1,1
,,,account knowledge,1,1,nordic cities meet,1,1
,,,ai planning,1,1,novel technologies including,1,1
,,,around environmental,1,1,officials attitudes knowledge,1,1
,,,balance traffic,1,1,respective cities response,1,1
,,,capacity fully,1,1,technologies including ai,1,1
,,,carbon dioxide,1,1,thoughts visions ideas,1,1
,,,concerns around,1,1,topical expert interviews,1,1
,,,congested urban,1,1,two metropolitan area,1,1
,,,control strategic,1,1,utilize various novel,1,1
,,,data supplied,1,1,various novel technologies,1,1
,,,deliver efficient,1,1,coverage path planning,2,1
,,,dioxide emissions,1,1,approaches ca model,1,1
,,,efficient routes,1,1,bypasses common drawbacks,1,1
,,,emissions one,1,1,case study focuses,1,1
,,,emissions route,1,1,completely bypasses common,1,1
,,,etc specifically,1,1,congestion collision avoidance,1,1
,,,global growth,1,1,decentralized artificial neural,1,1
,,,help meet,1,1,elementary cognitive skills,1,1
,,,including road,1,1,high computational resources,1,1
,,,industrial partner,1,1,imitates human priors,1,1
,,,infrastructure presenting,1,1,network based algorithm,1,1
,,,intelligent routing,1,1,network creates correlation,1,1
,,,maps air,1,1,neural network creates,1,1
,,,minimise overall,1,1,paper proposes method,1,1
,,,network capacity,1,1,path planning cpp,1,1
,,,overall vehicle,1,1,planning cpp problem,1,1
,,,partner results,1,1,session imitates human,1,1
,,,planning technology,1,1,traditional approaches ca,1,1
,,,poor air,1,1,training session imitates,1,1
,,,presenting challenges,1,1,average test value,2,1
,,,quality concerns,1,1,vegetation barrier designs,2,1
,,,quality limitations,1,1,address trap problems,1,1
,,,quality zones,1,1,adverse health effects,1,1
,,,related carbon,1,1,aid local communities,1,1
,,,respect air,1,1,air pollution trap,1,1
,,,respecting air,1,1,air pollution using,1,1
,,,route maps,1,1,barrier designs based,1,1
,,,routing taking,1,1,barrier designs data,1,1
,,,services including,1,1,causing adverse health,1,1
,,,several ways,1,1,communities often lack,1,1
,,,specifically focusing,1,1,dependent particle concentrations,1,1
,,,strategic vehicle,1,1,designing roadside green,1,1
