doc_id,title,score,similar_cluster_no,similar_doc_id,similar_title
,,0.58,7,289,Machine learning technologies for sustainability in smart cities in the post-covid era
,,0.58,-1,187,Kadaster knowledge graph: Beyond the fifth star of open data
,,0.57,9,92,Cyber Cities: Social Media as a Tool for Understanding Cities
,,0.56,7,515,Smart urban futures: Outlining the smart city planning project
,,0.56,-1,426,Intelligent control systems in urban planning conflicts: Social media users’ perception
,,0.56,7,581,Conference on Human Factors in Computing Systems - Proceedings
,,0.55,7,584,International series on information systems and management in creative eMedia
,,0.55,3,509,Urban Planning Reform Trend Based on Artificial Intelligence
,,0.55,8,188,"Positive deviance, big data, and development: A systematic literature review"
,,0.55,7,482,Introduction to Urban Computing
,,0.55,9,405,Urban computing and smart cities: Opportunities and challenges in modelling large-scale aggregated human behavior
,,0.54,7,377,The future city ecosystem
,,0.54,8,162,Analyzing Objective and Subjective Data in Social Sciences: Implications for Smart Cities
,,0.54,7,502,The art of learnin
,,0.53,8,344,Opportunities and challenges of geospatial analysis for promoting urban livability in the era of big data and machine learning
,,0.53,6,366,Digital excavation of mediatized urban heritage: Automated recognition of buildings in image sources
,,0.53,-1,487,"AVI 2020 Workshop on Road Mapping Infrastructures for Artificial Intelligence Supporting Advanced Visual Big Data Analysis, AVI-BDA 2020 and 2nd Italian Workshop on Visualization and Visual Analytics, ITAVIS 2020"
,,0.53,8,248,A framework to simplify pre-processing location-based social media big data for sustainable urban planning and management
207,A fuzzy logic based transport mode detection framework in urban environment,0.7400,-1,400,A comparison among various classification algorithms for travel mode detection using sensors' data collected by smartphones
,,0.70,-1,189,Detecting Transportation Modes Based on LightGBM Classifier from GPS Trajectory Data
,,0.65,7,464,Smart Urban Mobility: When Mobility Systems Meet Smart Data
,,0.65,9,118,Automated urban travel interpretation: A bottom-up approach for trajectory segmentation
,,0.65,7,597,The design of urban geographical information system for transportation
,,0.64,9,40,Analyzing large-scale human mobility data: a survey of machine learning methods and applications
,,0.63,2,18,Citywide Traffic Volume Estimation Using Trajectory Data
,,0.62,2,302,Data-driven next destination prediction and ETA improvement for urban delivery fleets
,,0.62,2,388,Data mining techniques for smart mobility—a survey
,,0.62,2,161,Toward Transportation Mode Recognition Using Deep Convolutional and Long Short-Term Memory Recurrent Neural Networks
,,0.62,9,334,A generic paradigm for mining human mobility patterns based on the GPS trajectory data using complex network analysis
,,0.62,7,240,Inference of vehicular traffic in smart cities using machine learning with the internet of things
,,0.61,9,529,Transaction-Driven Mobility Analysis for Travel Mode Choices
,,0.61,7,215,Intelligent driver assist system for urban driving
,,0.60,9,87,IVizTRANS: Interactive visual learning for home and work place detection from massive public transportation data
,,0.59,2,158,Trajectory clustering of road traffic in urban environments using incremental machine learning in combination with hyperdimensional computing
,,0.59,9,33,Urban human mobility data mining: An overview
,,0.59,1,80,"Intelligent GPS L1 LOS/multipath/NLOS classifiers based on correlator-, RINEX- and NMEA-level measurements"
,,0.58,2,351,Development of people mass movement simulation framework based on reinforcement learning
,,0.58,2,141,Joint prediction of road-Traffic and parking occupancy over a city with representation learning
,,0.58,1,280,Improving GPS Code Phase Positioning Accuracy in Urban Environments Using Machine Learning
,,0.57,9,405,Urban computing and smart cities: Opportunities and challenges in modelling large-scale aggregated human behavior
,,0.57,2,108,Strategway: Web solutions for building public transportation routes using big geodata analysis
,,0.57,9,260,Integrating geovisual analytics with machine learning for human mobility pattern discovery
,,0.57,9,442,Interpretation of contextual influences with explanatory tools: Travel mode likelihood mapping using GPS trajectories
,,0.57,1,152,NLOS multipath detection by using machine learning in urban environments
,,0.57,9,193,Characterization of behavioral patterns exploiting description of geographical areas
,,0.57,9,404,Automated urban location annotation on mobile records
,,0.56,9,397,Data mining tourism patterns
,,0.56,-1,85,Identification of low-carbon travel block based on GIS hotspot analysis using spatial distribution learning algorithm
394,Analysis of relationship between road traffic noise and urban form indicators through machine learning method,0.7400,-1,463,Machine Learning Predictors for Sustainable Urban Planning
,,0.69,5,440,"Towards low carbon cities: A machine learning method for predicting urban blocks carbon emissions (UBCE) based on built environment factors (BEF) in Changxing City, China"
,,0.67,5,172,Analyzing the spatial factors related to the distributions of building heights in urban areas: A comparative case study in Guangzhou and Shenzhen
,,0.66,6,518,Modeling and evaluating the residential urban environment perception
,,0.66,-1,184,A machine learning-based classification system for urban built-up areas using multiple classifiers and data sources
,,0.65,3,558,Application of AI in urban design
,,0.65,5,522,A Machine Learning-Based Method for Predicting Urban Land Use
,,0.65,3,293,Design of machine learning model for Urban planning and management improvement
,,0.64,5,70,Driving forces analysis of urban expansion based on boosted regression trees and Logistic regression
,,0.64,5,446,Investigation of urban climates and built environment relations by using machine learning
,,0.64,5,564,"Urban sprawl modeling of Lahore, Pakistan using machine learning techniques"
,,0.64,6,360,An investigation of the visual features of urban street vitality using a convolutional neural network
,,0.64,2,133,A comparison of machine learning methods for the prediction of traffic speed in Urban places
,,0.63,5,286,Thermal comfort prediction by applying supervised machine learning in green sidewalks of Tehran
,,0.63,4,411,Automated classification of building structures for urban built environment identification using machine learning
,,0.62,-1,342,Classification of Urban Functional Areas from Remote Sensing Images and Time-Series User Behavior Data
,,0.62,6,69,A tool for urban soundscape evaluation applying Support Vector Machines for developing a soundscape classification model
,,0.62,2,561,"Highway traffic volume prediction via stacking KNN, SVR, MLP, RNN"
,,0.62,-1,85,Identification of low-carbon travel block based on GIS hotspot analysis using spatial distribution learning algorithm
,,0.61,9,507,A deep learning approach to urban street functionality prediction based on centrality measures and stacked denoising autoencoder
,,0.61,5,526,Characterizing air quality in urban areas with mobile measurement and high resolution open spatial data: Comparison of different machine-learning approaches using a visual interface
,,0.61,6,390,Holistic visual data representation for built environment assessment
,,0.61,6,252,A data-informed analytical approach to human-scale greenway planning: Integrating multi-sourced urban data with machine learning algorithms
,,0.61,6,51,"Impacts of land use and amenities on public transport use, urban planning and design"
,,0.61,5,197,Comparing machine learning classification schemes - A GIS approach
,,0.60,6,115,A systematic measurement of street quality through multi-sourced Urban data: A human-oriented analysis
,,0.60,7,559,ACM International Conference Proceeding Series
,,0.60,5,50,Mining transition rules of cellular automata for simulating urban expansion by using the deep learning techniques
,,0.60,5,75,Simulation of urban expansion via integrating artificial neural network with Markov chain–cellular automata
,,0.60,5,576,Urban inefficient industrial land recognition system based on augmented learning model
426,Intelligent control systems in urban planning conflicts: Social media users’ perception,0.7400,8,164,Social media data analysis in urban e-planning
,,0.68,8,248,A framework to simplify pre-processing location-based social media big data for sustainable urban planning and management
,,0.68,-1,129,Artificial intelligence technologies and related urban planning and development concepts: How are they perceived and utilized in Australia?
,,0.67,9,92,Cyber Cities: Social Media as a Tool for Understanding Cities
,,0.67,3,23,Artificial intelligence solutions for urban land dynamics: A review
,,0.66,3,244,Selecting artificial intelligence urban models using waves of complexity
,,0.66,3,509,Urban Planning Reform Trend Based on Artificial Intelligence
,,0.64,3,322,Knowledge and reasoning in development control and urban design: an expert systems approach
,,0.64,8,208,Game-based crowdsourcing to support collaborative customization of the definition of sustainability
,,0.64,3,48,Can expert systems help with planning?
,,0.63,8,344,Opportunities and challenges of geospatial analysis for promoting urban livability in the era of big data and machine learning
,,0.63,3,293,Design of machine learning model for Urban planning and management improvement
,,0.63,8,170,Automated classification of social network messages into Smart Cities dimensions
,,0.62,3,306,Comparative review of methods supporting decision-making in urban development and land management
,,0.62,3,558,Application of AI in urban design
,,0.61,6,200,GIS-based emotional computing: A review of quantitative approaches to measure the emotion layer of human–environment relationships
,,0.61,-1,595,Developing methodologies of knowledge discovery and data mining to investigate metropolitan land use evolution
,,0.61,7,515,Smart urban futures: Outlining the smart city planning project
,,0.61,-1,250,A value of civic voices for smart city: A big data analysis of civic queries posed by Seoul citizens
,,0.60,7,337,A Review of AI for Urban Planning: Towards Building Sustainable Smart Cities
,,0.60,5,197,Comparing machine learning classification schemes - A GIS approach
,,0.60,8,162,Analyzing Objective and Subjective Data in Social Sciences: Implications for Smart Cities
,,0.59,8,140,How should urban planners be trained to handle big data?
,,0.59,3,183,The promise of expert systems for urban planning
,,0.59,3,429,Improving intelligent decision making in urban planning: Using machine learning algorithms
,,0.59,5,167,Urban Data Mining using emergent SOM
,,0.59,-1,463,Machine Learning Predictors for Sustainable Urban Planning
,,0.59,7,508,BISTRO: Berkeley Integrated System for Transportation Optimization
,,0.59,6,518,Modeling and evaluating the residential urban environment perception
,,0.59,5,594,Research on application of intelligent computation - Based LUCC model in urbanization process
234,Night on South Korea: Unraveling the relationship between urban development patterns and DMSP-OLS night-time lights,0.7300,-1,10,"Urbanization impact on landscape patterns in Beijing City, China: A spatial heterogeneity perspective"
,,0.70,-1,345,"Exploring the dynamics of urban greenness space and their driving factors using geographically weighted regression: A case study in Wuhan Metropolis, China"
,,0.67,4,488,Estimating Socio-Economic Parameters via Machine Learning Methods Using Luojia1-01 Nighttime Light Remotely Sensed Images at Multiple Scales of China in 2018
,,0.66,5,474,Analysis of built-up areas of small polish cities with the use of deep learning and geographically weighted regression
,,0.65,5,222,Estimating quality of life dimensions from urban spatial pattern metrics
,,0.65,4,407,"Effects of urbanization on spatiotemporal changes of land cover pattern: A case of Changsha, China"
,,0.64,5,330,Proposing an effective and inexpensive tool to detect urban surface temperature changes associated with urbanization processes in small cities
,,0.63,4,49,"The spatial characteristics and relationships between landscape pattern and ecosystem service value along an urban-rural gradient in Xi'an city, China"
,,0.63,5,98,Analysis on spatiotemporal changes of urban thermal landscape pattern in the context of urbanisation: A case study of Xiamen City
,,0.63,5,564,"Urban sprawl modeling of Lahore, Pakistan using machine learning techniques"
,,0.63,5,36,Mapping urban form and function at city block level using spatial metrics
,,0.62,5,297,Sensing Mixed Urban Land-Use Patterns Using Municipal Water Consumption Time Series
,,0.62,6,27,Measuring daily accessed street greenery: A human-scale approach for informing better urban planning practices
,,0.61,4,471,"Object-Oriented Approach for Urbanization Growth by Using Remote Sensing and GIS Techniques: A Case Study in Hilla City, Babylon Governorate, Iraq"
,,0.61,5,421,"Evaluation of the environmental impacts of urbanization from the viewpoint of increased skin temperatures: a case study from Istanbul, Turkey"
,,0.61,5,45,The effect of multi-dimensional indicators on urban thermal conditions
,,0.61,4,182,A comparative analysis of the urban web of the greater athens agglomeration for the last 20-years period on the basis of landsat imagery
,,0.60,6,91,Daily accessed street greenery and housing price: Measuring economic performance of human-scale streetscapes via new urban data
,,0.60,4,459,"Using satellite data to analyse raw material consumption in Hanoi, Vietnam"
,,0.60,4,431,"Identifying different types of urban land use dynamics using Point-of-interest (POI) and Random Forest algorithm: The case of Huizhou, China"
,,0.60,5,202,Spatiotemporal modeling of urban growth using machine learning
,,0.60,5,70,Driving forces analysis of urban expansion based on boosted regression trees and Logistic regression
,,0.60,4,228,Population spatialization in Beijing city based on machine learning and multisource remote sensing data
,,0.60,6,470,Evolution of historical urban landscape with computer vision and machine learning: A case study of Berlin
,,0.60,9,203,Automatic identification of the social functions of areas of interest (AOIS) using the standard hour-day-spectrum approach
,,0.59,5,485,Analyzing the spatiotemporal uncertainty in urbanization predictions
,,0.59,5,414,Evaluating the role of urban fabric on surface urban heat island: The case of Istanbul
,,0.59,5,315,A multiscale clustering of the urban morphology for use in quantitative models
,,0.59,9,159,Reversed urbanism: Inferring urban performance through behavioral patterns in temporal telecom data
,,0.59,4,347,Analysing urban development patterns in a conflict zone: A case study of kabul
383,Can we predict the scenic beauty of locations from geo-tagged Flickr images?,0.7300,6,11,Measuring human perceptions of a large-scale urban region using machine learning
,,0.70,6,15,A machine learning-based method for the large-scale evaluation of the qualities of the urban environment
,,0.70,9,227,The big picture of cities: Analysing Flickr photos of 222 cities worldwide
,,0.70,9,566,Ballparking the Urban placeness: A case study of analyzing starbucks posts on instagram
,,0.69,6,93,Explaining subjective perceptions of public spaces as a function of the built environment: A massive data approach
,,0.68,9,124,Where to go and what to do: Extracting leisure activity potentials from Web data on urban space
,,0.66,9,13,Exploiting foursquare and cellular data to infer user activity in urban environments
,,0.65,6,212,Multiple images of the city: Unveiling group-specific urban perceptions through a crowdsourcing game
,,0.65,6,423,Subjectively measured streetscape perceptions to inform urban design strategies for Shanghai
,,0.65,9,370,Crowdsensed Data Learning-Driven Prediction of Local Businesses Attractiveness in Smart Cities
,,0.64,9,496,From PIace2Vec to Multi-Scale Built-Environment Representation: A General-Purpose Distributional Embedding for Urban Data Analysis
,,0.64,6,14,Using image recognition to automate assessment of cultural ecosystem services from social media photographs
,,0.64,6,492,Investigating sense of place of the Las Vegas Strip using online reviews and machine learning approaches
,,0.63,6,59,A human-machine adversarial scoring framework for urban perception assessment using street-view images
,,0.62,6,470,Evolution of historical urban landscape with computer vision and machine learning: A case study of Berlin
,,0.62,9,180,A business zone recommender system based on facebook and urban planning data
,,0.61,6,360,An investigation of the visual features of urban street vitality using a convolutional neural network
,,0.60,6,390,Holistic visual data representation for built environment assessment
,,0.60,9,511,Learning Semantic Relationships of Geographical Areas based on Trajectories
,,0.60,6,239,Deep CNN-based methods to evaluate neighborhood-scale urban valuation through street scenes perception
,,0.60,6,542,"A LARGE SCALE CLASSIFICATION of PUBLIC SPACES USING A STUDY of PERCEPTION and PUBLIC DATA from INEGI of the CITY of PUEBLA, SAN PEDRO CHOLULA and SAN ANDRES CHOLULA"
,,0.59,9,404,Automated urban location annotation on mobile records
,,0.59,6,16,Measuring visual enclosure for street walkability: Using machine learning algorithms and Google Street View imagery
,,0.59,6,346,Predicting human perception of the urban environment in a spatiotemporal urban setting using locally acquired street view images and audio clips
,,0.59,8,162,Analyzing Objective and Subjective Data in Social Sciences: Implications for Smart Cities
,,0.59,9,494,Using Social Media to Understand City-wide Movement Patterns and Behaviours
,,0.58,6,62,The visual quality of streets: A human-centred continuous measurement based on machine learning algorithms and street view images
,,0.58,-1,194,Classification of sidewalks in street view images
,,0.58,9,577,"1st Asia-Pacific Web and Web-Age Information Management Joint Conference on Web and Big Data, APWeb-WAIM 2017 held in Conjuction with the International Workshop on Mobile Web Data Analytics, MWDA 2017, International Workshop on Hot Topics in Big Spatial Data and Urban Computing, HotSpatial 2017, International Workshop on Graph Data Management and Analysis, GDMA 2017, 2nd International Workshop on Data Driven Crowdsourcing, DDC 2017, 2nd International Workshop on Spatio-temporal Data Management and Analytics, SDMA 2017 and International Workshop on Mobility Analytics from Spatial and Social Data, MASS 2017"
,,0.58,6,375,City safety perception model based on visual content of street images
403,A reasoning approach for modelling and predicting terroristic attacks in urban environments,0.7300,7,281,Research on urban anti-terrorism intelligence perception system from the perspective of Internet of things application
,,0.64,-1,552,Intelligence augmentation for urban warfare operation planning using deep reinforcement learning
,,0.62,-1,320,Risk management systems must provide automatic decisions according to crisis computable algebras
,,0.60,9,127,Using abstractions to solve opportunistic crime security games at scale
,,0.60,9,417,A data-driven agent-based simulation to predict crime patterns in an urban environment
,,0.58,7,387,Robust anomaly detection in urban environments using sensor and information fusion and a camera network
,,0.57,2,301,ADMSv2: A modern architecture for transportation data management and analysis
,,0.57,3,183,The promise of expert systems for urban planning
,,0.56,7,563,"Proceedings of the 1st ACM SIGSPATIAL International Workshop on Advances in Resilient and Intelligent Cities, ARIC 2018"
,,0.56,2,483,AI and Deep Learning for Urban Computing
,,0.56,7,47,Semantic framework of internet of things for smart cities: Case studies
,,0.56,3,48,Can expert systems help with planning?
,,0.55,-1,585,"European Conference on Machine Learning and Knowledge Discovery in Databases, ECML PKDD 2016"
,,0.55,2,302,Data-driven next destination prediction and ETA improvement for urban delivery fleets
,,0.54,7,337,A Review of AI for Urban Planning: Towards Building Sustainable Smart Cities
,,0.54,7,261,Utilizing Big Data for Enhancing Passenger Safety in Railway Stations
,,0.54,3,429,Improving intelligent decision making in urban planning: Using machine learning algorithms
,,0.54,9,405,Urban computing and smart cities: Opportunities and challenges in modelling large-scale aggregated human behavior
,,0.54,-1,46,Forecasting smog-related health hazard based on social media and physical sensor
,,0.53,7,289,Machine learning technologies for sustainability in smart cities in the post-covid era
,,0.53,7,500,"Evaluation of Smart Infrastructure Systems and Novel UV-Oriented Solution for Integration, Resilience, Inclusiveness, and Sustainability"
,,0.53,3,241,An information system for judicial and public administration using artificial intelligence and geospatial data
,,0.52,7,240,Inference of vehicular traffic in smart cities using machine learning with the internet of things
,,0.52,3,322,Knowledge and reasoning in development control and urban design: an expert systems approach
,,0.52,9,82,Mining large-scale human mobility data for long-term crime prediction
,,0.51,7,305,Participatory AI: Reducing AI bias and developing socially responsible AI in smart cities
,,0.51,7,549,"15th European Conference on Ambient Intelligence, AmI 2019"
,,0.51,7,94,Smart cities and a data-driven response to COVID-19
,,0.50,7,7,On the coronavirus (Covid-19) outbreak and the smart city network: Universal data sharing standards coupled with artificial intelligence (ai) to benefit urban health monitoring and management
,,0.50,3,23,Artificial intelligence solutions for urban land dynamics: A review
415,Smart environment design planning for smart city based on deep learning,0.7300,2,483,AI and Deep Learning for Urban Computing
,,0.72,5,440,"Towards low carbon cities: A machine learning method for predicting urban blocks carbon emissions (UBCE) based on built environment factors (BEF) in Changxing City, China"
,,0.70,7,219,Effective task scheduling algorithm with deep learning for Internet of Health Things (IoHT) in sustainable smart cities
,,0.70,2,352,Taxi Demand Prediction using an LSTM-Based Deep Sequence Model and Points of Interest
,,0.69,5,446,Investigation of urban climates and built environment relations by using machine learning
,,0.69,7,289,Machine learning technologies for sustainability in smart cities in the post-covid era
,,0.69,5,226,Deep neural network analyses of water quality time series associated with water sensitive urban design (WSUD) features
,,0.67,-1,463,Machine Learning Predictors for Sustainable Urban Planning
,,0.67,5,526,Characterizing air quality in urban areas with mobile measurement and high resolution open spatial data: Comparison of different machine-learning approaches using a visual interface
,,0.67,7,337,A Review of AI for Urban Planning: Towards Building Sustainable Smart Cities
,,0.67,5,50,Mining transition rules of cellular automata for simulating urban expansion by using the deep learning techniques
,,0.66,-1,46,Forecasting smog-related health hazard based on social media and physical sensor
,,0.65,5,527,Mining and Analysis of Air Quality Data to Aid Climate Change
,,0.65,7,530,Theoretical design and experimental study for urban data management using energy-saved IoT big data
,,0.65,7,525,"5th EAI International Smart City 360 Summit, 2019"
,,0.65,7,4,"On big data, artificial intelligence and smart cities"
,,0.64,5,138,Machine learning for geographically differentiated climate change mitigation in urban areas
,,0.64,7,386,Machine learning for real-time urban metrics and design recommendations
,,0.64,-1,88,Understanding cities with machine eyes: A review of deep computer vision in urban analytics
,,0.64,5,185,Building Energy Information: Demand and Consumption Prediction with Machine Learning Models for Sustainable and Smart Cities
,,0.63,4,99,Local climate zone mapping as remote sensing scene classification using deep learning: A case study of metropolitan China
,,0.63,9,507,A deep learning approach to urban street functionality prediction based on centrality measures and stacked denoising autoencoder
,,0.62,5,420,Meta-regression framework for energy consumption prediction in a smart city: A case study of Songdo in South Korea
,,0.62,7,47,Semantic framework of internet of things for smart cities: Case studies
,,0.62,7,490,Evaluating the Performance of Reinforcement Learning Signalling Strategies for Sustainable Urban Road Networks
,,0.61,5,119,"A data-driven approach for multi-scale GIS-based building energy modeling for analysis, planning and support decision making"
,,0.61,5,83,"Using a gradient boosting model to improve the performance of low-cost aerosol monitors in a dense, heterogeneous urban environment"
,,0.60,6,11,Measuring human perceptions of a large-scale urban region using machine learning
,,0.60,-1,384,Towards a deep learning powered query engine for urban planning
,,0.60,6,436,Urban morphological feature extraction and multi-dimensional similarity analysis based on deep learning approaches
46,Forecasting smog-related health hazard based on social media and physical sensor,0.7100,5,527,Mining and Analysis of Air Quality Data to Aid Climate Change
,,0.70,8,328,Online urban-waterlogging monitoring based on a recurrent neural network for classification of microblogging text
,,0.68,5,526,Characterizing air quality in urban areas with mobile measurement and high resolution open spatial data: Comparison of different machine-learning approaches using a visual interface
,,0.67,8,248,A framework to simplify pre-processing location-based social media big data for sustainable urban planning and management
,,0.66,-1,415,Smart environment design planning for smart city based on deep learning
,,0.64,9,528,Harnessing Social Interactions on Twitter for Smart Transportation Using Machine Learning
,,0.63,8,170,Automated classification of social network messages into Smart Cities dimensions
,,0.63,9,92,Cyber Cities: Social Media as a Tool for Understanding Cities
,,0.63,9,341,Applying machine learning and geolocation techniques to social media data (Twitter) to develop a resource for urban planning
,,0.62,7,289,Machine learning technologies for sustainability in smart cities in the post-covid era
,,0.62,5,416,DTEx: A dynamic urban thermal exposure index based on human mobility patterns
,,0.61,9,33,Urban human mobility data mining: An overview
,,0.60,-1,585,"European Conference on Machine Learning and Knowledge Discovery in Databases, ECML PKDD 2016"
,,0.60,8,344,Opportunities and challenges of geospatial analysis for promoting urban livability in the era of big data and machine learning
,,0.60,9,405,Urban computing and smart cities: Opportunities and challenges in modelling large-scale aggregated human behavior
,,0.60,5,138,Machine learning for geographically differentiated climate change mitigation in urban areas
,,0.60,-1,463,Machine Learning Predictors for Sustainable Urban Planning
,,0.60,5,348,A hybrid air pollutant concentration prediction model combining secondary decomposition and sequence reconstruction
,,0.60,5,446,Investigation of urban climates and built environment relations by using machine learning
,,0.59,-1,573,"ESANN 2017 - Proceedings, 25th European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning"
,,0.59,7,525,"5th EAI International Smart City 360 Summit, 2019"
,,0.58,5,52,Upscaling urban data science for global climate solutions
,,0.58,5,83,"Using a gradient boosting model to improve the performance of low-cost aerosol monitors in a dense, heterogeneous urban environment"
,,0.58,2,483,AI and Deep Learning for Urban Computing
,,0.58,7,545,Internet of things and statistical analysis
,,0.58,9,494,Using Social Media to Understand City-wide Movement Patterns and Behaviours
,,0.57,9,577,"1st Asia-Pacific Web and Web-Age Information Management Joint Conference on Web and Big Data, APWeb-WAIM 2017 held in Conjuction with the International Workshop on Mobile Web Data Analytics, MWDA 2017, International Workshop on Hot Topics in Big Spatial Data and Urban Computing, HotSpatial 2017, International Workshop on Graph Data Management and Analysis, GDMA 2017, 2nd International Workshop on Data Driven Crowdsourcing, DDC 2017, 2nd International Workshop on Spatio-temporal Data Management and Analytics, SDMA 2017 and International Workshop on Mobility Analytics from Spatial and Social Data, MASS 2017"
,,0.57,5,199,Urban ambient air temperature estimation using hyperlocal data from smart vehicle-borne sensors
,,0.57,9,574,"Processing, mining and visualizing massive urban data"
,,0.57,5,253,"GIS-enabled digital twin system for sustainable evaluation of carbon emissions: A case study of Jeonju city, south Korea"
134,Transparency in practice: Using visualization to enhance the interpretability of open data,0.7100,-1,487,"AVI 2020 Workshop on Road Mapping Infrastructures for Artificial Intelligence Supporting Advanced Visual Big Data Analysis, AVI-BDA 2020 and 2nd Italian Workshop on Visualization and Visual Analytics, ITAVIS 2020"
,,0.71,6,43,StreetVizor: Visual Exploration of Human-Scale Urban Forms Based on Street Views
,,0.70,8,140,How should urban planners be trained to handle big data?
,,0.68,9,574,"Processing, mining and visualizing massive urban data"
,,0.67,8,344,Opportunities and challenges of geospatial analysis for promoting urban livability in the era of big data and machine learning
,,0.67,7,466,Visual Analytics of Urban Informality and Infrastructure Planning with Tableau for Sustainable Urban Design Research Strategies in Lagos Metropolis
,,0.66,9,260,Integrating geovisual analytics with machine learning for human mobility pattern discovery
,,0.64,9,405,Urban computing and smart cities: Opportunities and challenges in modelling large-scale aggregated human behavior
,,0.64,9,87,IVizTRANS: Interactive visual learning for home and work place detection from massive public transportation data
,,0.63,7,282,Towards the collaborative development of machine learning techniques in planning support systems – a Sydney example
,,0.62,9,107,Structure of 311 service requests as a signature of urban location
,,0.62,-1,187,Kadaster knowledge graph: Beyond the fifth star of open data
,,0.62,9,92,Cyber Cities: Social Media as a Tool for Understanding Cities
,,0.62,5,167,Urban Data Mining using emergent SOM
,,0.61,-1,44,Citizen-centered big data analysis-driven governance intelligence framework for smart cities
,,0.61,8,142,Predictive analytics can facilitate proactive property vacancy policies for cities
,,0.61,9,393,Multiscale spatio-temporal data aggregation and mapping for urban data exploration
,,0.61,9,587,2nd International Workshop on Mining Urban Data (Preface)
,,0.61,7,482,Introduction to Urban Computing
,,0.61,9,159,Reversed urbanism: Inferring urban performance through behavioral patterns in temporal telecom data
,,0.59,6,16,Measuring visual enclosure for street walkability: Using machine learning algorithms and Google Street View imagery
,,0.59,6,390,Holistic visual data representation for built environment assessment
,,0.59,5,445,Local and application-specific geodemographics for data-led urban decision making
,,0.59,6,309,Using Random Forests on Real-World City Data for Urban Planning in a Visual Semantic Decision Support System
,,0.59,9,409,Street context of various demographic groups in their daily mobility
,,0.59,-1,551,Exploring different combinations of data and methods for urban land use analysis: A survey
,,0.59,-1,585,"European Conference on Machine Learning and Knowledge Discovery in Databases, ECML PKDD 2016"
,,0.59,8,164,Social media data analysis in urban e-planning
,,0.59,9,341,Applying machine learning and geolocation techniques to social media data (Twitter) to develop a resource for urban planning
,,0.58,6,557,The Social Life of Small Urban Spaces 2.0: Three Experiments in Computational Urban Studies
285,Planning the Future of Smart Cities with Swarms of Fully Autonomous Unmanned Aerial Vehicles Using a Novel Framework,0.7100,-1,434,Neural Network Based Algorithm for Multi-UAV Coverage Path Planning
,,0.69,-1,516,Intelligent Unmanned Aerial Vehicle Technology in Urban Environments
,,0.64,7,337,A Review of AI for Urban Planning: Towards Building Sustainable Smart Cities
,,0.62,6,308,Rapid and automated urban modeling techniques for UAS applications
,,0.61,7,240,Inference of vehicular traffic in smart cities using machine learning with the internet of things
,,0.61,7,514,Algorithmic Urban IoT Context and Convergence of Services Sensing and Planning Units (PUs)
,,0.60,7,525,"5th EAI International Smart City 360 Summit, 2019"
,,0.59,7,500,"Evaluation of Smart Infrastructure Systems and Novel UV-Oriented Solution for Integration, Resilience, Inclusiveness, and Sustainability"
,,0.59,-1,320,Risk management systems must provide automatic decisions according to crisis computable algebras
,,0.59,7,273,Automated planning for urban traffic control: Strategic vehicle routing to respect air quality limitations
,,0.58,7,464,Smart Urban Mobility: When Mobility Systems Meet Smart Data
,,0.58,7,230,Drone Futures: UAS in landscape and urban design
,,0.57,7,4,"On big data, artificial intelligence and smart cities"
,,0.56,7,281,Research on urban anti-terrorism intelligence perception system from the perspective of Internet of things application
,,0.55,9,405,Urban computing and smart cities: Opportunities and challenges in modelling large-scale aggregated human behavior
,,0.55,7,515,Smart urban futures: Outlining the smart city planning project
,,0.55,7,60,Hierarchical multi-agent control of traffic lights based on collective learning
,,0.55,7,490,Evaluating the Performance of Reinforcement Learning Signalling Strategies for Sustainable Urban Road Networks
,,0.54,4,535,Urban Intelligent Navigator for Drone Using Convolutional Neural Network (CNN)
,,0.54,7,289,Machine learning technologies for sustainability in smart cities in the post-covid era
,,0.53,2,483,AI and Deep Learning for Urban Computing
,,0.53,7,47,Semantic framework of internet of things for smart cities: Case studies
,,0.53,7,533,"2nd Ibero-American Congress of Smart Cities, ICSC-CITIES 2019"
,,0.52,7,563,"Proceedings of the 1st ACM SIGSPATIAL International Workshop on Advances in Resilient and Intelligent Cities, ARIC 2018"
,,0.52,2,123,Smart mobile crowdsensing with urban vehicles: A deep reinforcement learning perspective
,,0.52,3,558,Application of AI in urban design
,,0.52,3,23,Artificial intelligence solutions for urban land dynamics: A review
,,0.52,7,495,The City of the Future: The Urban (Un) Seen Connecting Citizens and Spaces via Community Sensing
,,0.51,1,55,Air-to-Air Path Loss Prediction Based on Machine Learning Methods in Urban Environments
,,0.51,7,508,BISTRO: Berkeley Integrated System for Transportation Optimization
434,Neural Network Based Algorithm for Multi-UAV Coverage Path Planning,0.7100,-1,285,Planning the Future of Smart Cities with Swarms of Fully Autonomous Unmanned Aerial Vehicles Using a Novel Framework
,,0.63,6,308,Rapid and automated urban modeling techniques for UAS applications
,,0.59,-1,516,Intelligent Unmanned Aerial Vehicle Technology in Urban Environments
,,0.59,4,535,Urban Intelligent Navigator for Drone Using Convolutional Neural Network (CNN)
,,0.57,-1,552,Intelligence augmentation for urban warfare operation planning using deep reinforcement learning
,,0.56,2,123,Smart mobile crowdsensing with urban vehicles: A deep reinforcement learning perspective
,,0.56,1,55,Air-to-Air Path Loss Prediction Based on Machine Learning Methods in Urban Environments
